,Cancer_Q
19853,"24 y/o.A recent pap came back as abnormal, possible precancerous cells. I made a follow up appt. Could a recent bad UTI falsley alter the test results?"
19854,"27yr old married, recurrnt vaginal yeast infctn 4 past 5 months, taking medication, but the pap smear result pending. Anything 2 worry? Cervical cancer?"
19855,3 years ago my dr told me I had hpv. Every time I go back for a pap smear the nurse says its normal. Do I still have it? And does my bf have it now?
19856,5 months ago my pap came back abnormal with high risk HPV now she said my pap smear came back normal does that mean its gone? Or hasn't gotten worse?
19857,6yrs back my pap and hpv was negative. Does it mean I didnt have it or it could be dormant?
19858,"A person cone biopsy. The results came back that she had cervical cancer, does that mean she still have cancer? . How xan she not get it again?"
19859,A year ago 7 had a pap smear it came back good had one this year it came back abnormal they said it could be cacner or STD I have no symptoms for stds?
19860,"A year ago had PC bleed. Had ecc, d/c, , leep, HPV and STD tests all neg, just cervical inflammation. Now 1 year later pcb again?- cancer? Thoughts"
19861,AGC on pap. 6 mo ago normal with hr-hpv + but hpv 16&18 negative. Should I be concerned that I have cancer?
19862,"AGCUS pap, negative hpv 16/18/31. Positive mrna for ""other"" high risk strand. Watery mucus discharge. Should I be worried?"
19863,ASCUS 6 mo. Ago. 1st abnormal pap in 44 yrs of paps. HPV neg (2 types of tests) 1 sex partner. 10 yrs post menopause. If F/U pap is same? NO hormones
19864,"ASCUS diagnosed, do I have to wait 6 months for cells to return to normal, or can I order a colposcopy right away?"
19865,Ab pap with level 1 dysplasia. Same partner for 5 years. Can HPV suddenly pop up? Or do I need to confront him?
19866,"Abnormal pap 2 wks ago, nurse says doc wants to ""discuss further"". She mentioned low grade squ cells. I worry why he wouldn't just sched a colposcopy?"
19867,Abnormal pap came back HPV positive/cin1. Sent for colposcopy. Biopsy came back mild. But new pap is moderate-severe. Now have blood tinged discharge?
19868,"Abnormal pap smear 2 yrs ago and since then I haven't seen a doc, I lost my medicare and haven't seen a doctor since could this be terminal unattended?"
19869,"After finding out i've got low grade dyskaryosis, i'm being sent for a colposcopy. How likely is it that they'll find cancer? Really worried"
19870,"Always had abnormalpaps for past 6 years due to hpv. Biopsies, leep, cryo whole nine.Whats next, watchful waiting?Tired of 3/6 mo. Check ups.How to treat"
19871,"Are the recent news stories correct, that women should have a pap smear every 3 years instead of eve?"
19872,Are there any alternatives to getting a cervical smear test done?
19873,Ascis pap negative HPV 1 1/2 yrs ago 1 yr ago normal pap how likely this one not cancerous same faithful husband 20 yrs?
19874,"Asking a gynecologist: when you go in for a Pap smear, do they ever check for nicotine in your cells when they send it to a lab, cause I read they did not. I am a light smoker only 14 cigs/ wk and two days out of the week I don't smoke at all?"
19875,At my 6week of pregnancy check up doctor did the usual pap smear and it came back high grade.. Never had an abnormal one before. Is this normal after birth?
19876,"Awaiting smear result, and checked last year's which noted cervical erosion. Never been on the pill and not sexually active - should I be concerned?"
19877,"Biopsy results from colopscopy= yes chronic cervicitis, no dysplasia.Due to positive high risk hpv. Will abstinence clear the chronic cervicitis?"
19878,"Bruise easily, and have abnormal pap tests  do I have hiv?"
19879,Can HPV cause erratic menstrual cycles? I had a lsil (hpv positive) pap in january. My colposcopy  was negative for dysplasia & benign. I take the same birth control for a few years now.   My period has previously been pretty regular & would never spot be
19880,Can a woman with abnormal cells (cin 3) pass this on to her husband in any way and then if he sleeps with someone else can it pass to her?
19881,Can chlamydia cause my pap to come back with lsil mild dysplasia?
19882,Can drinking 8-10 hours before a pap smear conflict the results?
19883,"Can genital warts be mistaken as HPV? Got pap done. Came back ""inad."" & HPV 16, 18 tested neg, but under it says ""HPV other H risk type - pos"" explain"
19884,Can it take as little as 7 months for HPV to show on a papsmear?
19885,"Can sex cause my pap smear test results of cells to come back low grade, not normal. Will having sex make it worse or does it have to affect on cells."
19886,Can u explain to me why my pap test come back abnormal every 3 months? And what is the next step. My doctor is not tell me what's going on. I have hpv.
19887,Can you get a abnormal pap due to IUD being taken out from your body?
19888,Can you still have kids if your pap smear results came back abnormal?
19889,"Colonoscopy = HPV, pap smear = HPV, waiting on Dr. referral but very confused and scared.  Have had hysterectomy 6+ years ago.  Advise?"
19890,"Colpo, biopsy, ECC came back benign. The doctor said he didnt think he got enough tissue. I've had precancerous changes since 14. Could be misdiagnosis?"
19891,Colposcopy last october showed mild dysplasia. When do I need to get checked again?
19892,Colpscopy in 2010.  Showed mild hpv. Have had two normal pap smears. Does that mean HPV is gone?  Can i get back hpv?
19893,"Confused about my pap smear. It came back saying I have sil what is this, I heard it's cancer. I'm waiting for a biopsy to be done."
19894,Confused by recommendations. What does a pap test for?
19895,Could fingering (finger sex) the day before a pap smear cause false negative results? I.E. Cause it to show normal when actually abnormal
19896,Diagnosed w/ HPV wed via pap. No visible symptoms! Gyno said no other tests r needed & get pap in 1 year. Should I be concerned 4 warts & cancer?
19897,Did pap smear 5 weeks ago and still no result. They said another week. Could something be wrong.  Why is it taking so long?
19898,"Dr. says with close monitor, Pap tests and colposcopy tests and no HPV partner, my HPV16 could go away and if be cured! Is this true? Is it possible?"
19899,During my 6week check up doctor did the usual pap smear came back high grade.. Never had an abnormal one before. Is this sometimes normal after birth?
19900,"F 49, why gyne ordered pap smear and hvs culture and sencivity tests.?"
19901,"For personal things, I have this friend who had pap smear class 2 twice. Is it bad having it twice in the row? What would happen?"
19902,Go for pap every 12-18 months results normal.  Recent pap test came back aytipical cells undetermined significance.   Hpv test not done.  Am worried?
19903,"Going back for a follow up exam to make sure my chlamydia is gone, does that mean another pap? And what all can it detect? can a pregnancy be detected"
19904,Good day Doc! Im from the Philippines. I would like to ask if it's ok to have a withdrawal sex a night before pap smear? Please do reply. God bless
19905,"Got Pap smear test back paper said ""no significant abnormalities."" What does this mean?"
19906,"Got a smear test told abnormal have HPV infection, is this contagious?"
19907,"Got diagnosis with hpv, had cone biopsy 4 yrs ago and normal pap since. Do I still have hpv? Can it still affect me, my hubby and child?"
19908,"Got my pap smear back. Everything normal except for ""severe inflammation (nonspecific)."" How to treat this?"
19909,Had 2 paps in a row that were unsatisfactory due to not getting enough cells. HPV neg both times. Having colpo. Is this worrisome? Or protocol?
19910,"Had CIN 2&3, is this Definatly caused by hpv? Had 6month check up smear after lletz loop and tested negative for HPV I'm confused."
